species,ntype,stimulus,groupID,groupsize,name,age_m,sex,condition,approach_phys,approach_n,approach_alone_n,approach_soc_n,closest_appr_dis,latency_touch,sniffs_n,manipulate_n,explore_n,man_dur,sniff_dur,exp_dur,grid_time,lick,eat,notes
Marmoset,Object,Cat mice,L6,4,Nox,52,Male,Social,0,0,0,0,2,NA,0,0,0,0,0,0,0,NA,NA,
Marmoset,Object,Cat mice,L5,2,Washington,86.5,Female,Social,1,2,2,0,0,84.918,1,0,1,0,0.033,0.033,101.701,NA,NA,
Marmoset,Object,Cat mice,L5,2,Wolverine,29,Male,Social,1,2,1,1,1,NA,0,0,0,0,0,0,44.044,NA,NA,
Marmoset,Food,Familiar Food,L8,2,Tabor,147.5,Male,Social,1,1,1,0,0,7.341,0,0,0,0,0,0,297.063,1,1,
Marmoset,Food,Familiar Food,L8,2,Wuschel,15.5,Male,Social,1,9,0,9,0,4.938,0,0,0,0,0,0,162.163,1,1,
Marmoset,Food,Familiar Food,R2,2,Marvin,168,Male,Social,1,3,3,0,0,7.407,0,0,0,0,0,0,197.798,1,1,
Marmoset,Food,Familiar Food,R2,2,Jamaica,63,Female,Social,1,4,1,3,0,0.468,0,0,0,0,0,0,32.099,1,1,
Marmoset,Food,Familiar Food,R3,2,John,166.5,Male,Social,1,1,1,0,0,3.003,0,0,0,0,0,0,237.671,1,1,
Marmoset,Food,Familiar Food,R3,2,Mojita,69,Female,Social,1,2,0,2,0,0.801,0,0,0,0,0,0,216.316,1,1,
Marmoset,Food,Familiar Food,M3,2,Werewolf,33,Male,Social,1,2,2,0,0,21.255,0,2,2,4.538,0,4.538,60.026,0,0,
Marmoset,Food,Familiar Food,M3,2,Jambi,63,Female,Social,1,2,1,1,0,3.87,1,1,2,0.033,0.033,0.066,31.932,1,1,
Marmoset,Food,Familiar Food,H1,2,Wasabi,49,Female,Social,1,7,6,1,0,3.77,0,1,1,0.033,0,0.033,163.429,1,1,
Marmoset,Food,Familiar Food,H1,2,Kapi,222,Male,Social,1,4,2,2,0,1.368,0,0,0,0,0,0,311.644,1,1,
Marmoset,Food,Familiar Food,H6,2,Vesta,196,Female,Social,1,1,1,0,0,11.111,0,0,0,1,0.033,1.033,76.41,1,1,
Marmoset,Food,Familiar Food,H6,2,Vito,176.5,Male,Social,1,1,0,1,0,5.973,0,0,0,0,0,0,307.941,1,1,
Marmoset,Food,Familiar Food,L4,3,Lola,94.5,Female,Social,1,2,0,2,0,15.015,0,0,0,0,0,0,48.048,1,1,
Marmoset,Food,Familiar Food,L4,3,Lancia,221.5,Female,Social,1,1,1,0,0,28.162,0,0,0,0,0,0,250.717,1,1,
Marmoset,Food,Familiar Food,L4,2,Lotus,103,Male,Social,1,1,1,0,0,0.3,0,0,0,0,0,0,278.244,1,1,
Marmoset,Food,Familiar Food,L4,3,Lexus,210.5,Male,Social,1,2,0,2,0,19.252,0,0,0,0,0,0,187.087,1,1,
Marmoset,Food,Familiar Food,L6,4,Nux,55,Female,Social,1,3,1,2,0,7.408,0,0,0,0,0,0,222.356,1,1,
Marmoset,Food,Familiar Food,L6,4,Lex,174.5,Male,Social,1,1,0,1,0,0.734,0,0,0,0,0,0,291.958,1,1,
Marmoset,Food,Familiar Food,L6,4,Nougat,70,Female,Social,1,6,0,6,0,2.869,0,0,0,0,0,0,184.418,1,1,
Marmoset,Food,Familiar Food,L6,4,Nox,55,Male,Social,1,4,0,4,0,3.103,0,0,0,0,0,0,73.707,1,1,
Marmoset,Food,Familiar Food,L5,2,Washington,89.5,Female,Social,1,9,1,8,0,2.97,0,0,0,0,0,0,108.075,1,1,
Marmoset,Food,Familiar Food,L5,2,Wolverine,32,Male,Social,1,5,4,1,0,41.809,0,1,1,0,0,0,114.18,1,1,
Marmoset,Food,Familiar Food,L8,2,Tabor,148.5,Male,Individual,1,1,NA,NA,0,5.839,0,1,1,0,0,0,7.841,1,1,
Marmoset,Food,Familiar Food,L8,2,Wuschel,15.5,Male,Individual,1,1,NA,NA,0,6.04,0,1,1,0,0,0,8.041,1,1,
Marmoset,Food,Familiar Food,R2,2,Marvin,169,Male,Individual,1,1,NA,NA,0,1.802,0,1,1,0,0,0,8.175,1,1,
Marmoset,Food,Familiar Food,R2,2,Jamaica,64,Female,Individual,1,1,NA,NA,0,4.004,0,1,1,0,0,0,4.037,0,0,
